iter	Passed	Remaining
0	54	54866
1	55	27751
2	56	18711
3	56	14169
4	57	11449
5	58	9635
6	58	8338
7	59	7378
8	60	6621
9	60	6017
10	61	5527
11	62	5112
12	62	4761
13	63	4463
14	63	4202
15	64	3974
16	65	3777
17	66	3600
18	66	3440
19	67	3302
20	68	3172
21	68	3058
22	69	2950
23	70	2854
24	70	2768
25	71	2686
26	72	2609
27	73	2541
28	74	2479
29	74	2417
30	75	2357
31	76	2303
32	76	2251
33	77	2201
34	78	2152
35	78	2107
36	79	2063
37	79	2021
38	80	1980
39	80	1942
40	81	1907
41	82	1875
42	82	1845
43	83	1813
44	84	1782
45	84	1756
46	85	1731
47	86	1707
48	86	1684
49	87	1664
50	88	1642
51	88	1619
52	89	1597
53	89	1576
54	90	1556
55	91	1536
56	91	1517
57	92	1498
58	93	1483
59	93	1466
60	94	1449
61	94	1433
62	95	1417
63	95	1403
64	96	1391
65	97	1377
66	97	1363
67	98	1345
68	98	1331
69	99	1319
70	99	1306
71	100	1294
72	100	1282
73	101	1272
74	102	1261
75	102	1249
76	103	1238
77	103	1227
78	104	1216
79	104	1206
80	105	1197
81	106	1187
82	106	1178
83	107	1168
84	107	1157
85	108	1149
86	108	1139
87	109	1132
88	109	1124
89	110	1116
90	110	1108
91	111	1101
92	112	1094
93	112	1087
94	113	1079
95	113	1072
96	114	1065
97	114	1058
98	115	1052
99	116	1045
100	116	1039
101	117	1031
102	117	1024
103	118	1018
104	118	1011
105	119	1005
106	119	999
107	120	994
108	121	989
109	121	984
110	122	979
111	122	973
112	123	969
113	123	963
114	124	958
115	125	954
116	125	949
117	126	944
118	126	939
119	127	934
120	128	930
121	128	926
122	129	920
123	129	916
124	130	911
125	130	907
126	131	903
127	131	898
128	132	895
129	133	891
130	133	888
131	134	884
132	135	881
133	135	877
134	136	874
135	137	870
136	137	866
137	138	862
138	138	858
139	139	854
140	139	851
141	140	847
142	140	843
143	141	840
144	141	836
145	142	833
146	143	829
147	143	826
148	144	822
149	144	819
150	145	816
151	145	813
152	146	810
153	146	807
154	147	804
155	148	801
156	148	798
157	149	795
158	149	792
159	150	789
160	150	786
161	151	783
162	152	780
163	152	777
164	153	774
165	153	772
166	154	769
167	154	766
168	155	764
169	155	761
170	156	758
171	157	755
172	157	753
173	158	751
174	158	749
175	159	746
176	160	744
177	160	742
178	161	739
179	161	737
180	162	733
181	162	730
182	163	728
183	163	726
184	164	724
185	164	721
186	165	719
187	166	717
188	166	714
189	167	712
190	168	714
191	169	713
192	170	711
193	170	710
194	171	708
195	172	707
196	173	705
197	173	703
198	174	701
199	174	698
200	175	696
201	175	694
202	176	692
203	176	690
204	177	688
205	178	686
206	178	684
207	179	683
208	179	681
209	180	679
210	181	677
211	181	675
212	182	673
213	182	671
214	183	670
215	184	668
216	184	667
217	185	665
218	186	663
219	186	662
220	187	660
221	187	658
222	188	656
223	188	654
224	189	652
225	189	650
226	190	649
227	191	647
228	191	645
229	192	643
230	192	642
231	193	640
232	193	638
233	194	636
234	195	634
235	195	633
236	196	632
237	196	630
238	197	629
239	198	627
240	198	625
241	199	624
242	199	622
243	200	621
244	201	619
245	201	618
246	202	616
247	202	615
248	203	613
249	204	612
250	204	610
251	205	609
252	205	607
253	206	606
254	206	604
255	207	603
256	208	602
257	208	600
258	209	599
259	209	597
260	210	596
261	211	594
262	211	593
263	212	591
264	212	590
265	213	589
266	214	587
267	214	586
268	215	584
269	215	582
270	216	581
271	216	579
272	217	578
273	217	577
274	218	575
275	218	574
276	219	572
277	219	571
278	220	570
279	221	568
280	221	567
281	222	566
282	223	565
283	223	564
284	224	563
285	225	562
286	225	561
287	226	560
288	227	559
289	227	557
290	228	556
291	228	555
292	229	553
293	230	552
294	230	551
295	231	550
296	231	548
297	232	547
298	233	546
299	233	545
300	234	544
301	234	542
302	235	541
303	236	540
304	236	539
305	237	537
306	237	536
307	238	535
308	238	533
309	239	532
310	239	531
311	240	530
312	241	529
313	241	528
314	242	527
315	243	526
316	243	525
317	244	523
318	244	522
319	245	522
320	246	520
321	246	519
322	247	518
323	248	517
324	248	516
325	249	515
326	249	514
327	250	513
328	251	512
329	251	510
330	252	509
331	252	508
332	253	507
333	253	506
334	254	504
335	254	503
