iter	Passed	Remaining
0	55	55327
1	56	28408
2	57	19167
3	58	14567
4	59	11809
5	60	9985
6	61	8675
7	62	7707
8	63	6938
9	65	6482
10	66	5954
11	67	5516
12	68	5163
13	68	4847
14	69	4564
15	70	4320
16	70	4101
17	71	3905
18	72	3730
19	72	3571
20	73	3427
21	74	3293
22	74	3175
23	75	3068
24	76	2968
25	77	2885
26	77	2810
27	78	2731
28	79	2656
29	79	2586
30	80	2518
31	81	2456
32	81	2398
33	82	2345
34	83	2296
35	84	2256
36	85	2215
37	85	2170
38	86	2129
39	86	2087
40	87	2050
41	88	2015
42	89	1982
43	89	1949
44	90	1918
45	91	1889
46	91	1860
47	92	1831
48	93	1806
49	93	1780
50	94	1758
51	95	1734
52	95	1713
53	96	1690
54	97	1668
55	97	1646
56	98	1627
57	99	1610
58	99	1592
59	100	1574
60	101	1559
61	102	1550
62	103	1535
63	103	1520
64	104	1505
65	105	1491
66	106	1476
67	106	1463
68	107	1452
69	108	1438
70	110	1439
71	111	1434
72	112	1422
73	112	1410
74	113	1398
75	114	1387
76	114	1376
77	115	1367
78	116	1360
79	117	1349
80	118	1340
81	118	1330
82	119	1316
83	119	1307
84	120	1297
85	121	1288
86	121	1278
87	122	1268
88	123	1259
89	123	1251
90	124	1242
91	125	1234
92	125	1228
93	126	1220
94	127	1212
95	127	1205
96	128	1198
97	129	1191
98	130	1184
99	130	1177
100	131	1170
101	132	1163
102	132	1155
103	133	1148
104	133	1141
105	134	1134
106	135	1127
107	135	1120
108	136	1114
109	136	1108
110	137	1101
111	138	1095
112	138	1089
113	139	1083
114	140	1077
115	140	1071
116	141	1064
117	141	1058
118	142	1053
119	142	1047
120	143	1042
121	144	1036
122	144	1031
123	145	1026
124	145	1020
125	146	1015
126	146	1008
127	147	1003
128	147	998
129	148	993
130	148	987
131	149	982
132	149	977
133	150	973
134	151	968
135	151	964
136	152	960
137	153	956
138	153	951
139	154	948
140	154	944
141	155	939
142	156	935
143	156	931
144	157	927
145	157	923
146	158	919
147	158	915
148	159	910
149	160	906
150	160	902
151	161	899
152	161	895
153	162	892
154	162	888
155	163	884
156	164	881
157	164	878
158	165	875
159	166	872
160	166	868
161	167	865
162	167	862
163	168	859
164	169	855
165	169	852
166	170	849
167	170	846
168	171	843
169	172	840
170	172	837
171	173	834
172	174	831
173	174	829
174	175	826
175	175	823
176	176	820
177	177	818
178	178	817
179	178	814
180	179	812
181	180	809
182	180	806
183	181	803
184	181	801
185	182	798
186	183	796
187	183	793
188	184	791
189	184	788
190	185	786
191	186	783
192	186	780
193	187	777
194	187	775
195	188	772
196	188	769
197	189	767
198	189	764
199	190	762
200	191	759
201	191	757
202	192	755
203	192	752
204	193	750
205	193	747
206	194	745
207	195	742
208	195	740
209	196	737
210	196	735
211	197	733
212	197	730
213	198	728
214	198	725
215	199	723
216	199	721
217	200	719
218	201	717
219	201	715
220	202	713
221	203	711
222	203	709
223	204	707
224	204	705
225	205	703
226	205	701
227	206	699
228	206	696
229	207	694
230	208	692
231	208	690
232	209	688
233	209	686
234	210	684
235	210	682
236	211	680
237	211	678
238	212	676
239	213	674
240	213	672
241	214	670
242	214	668
243	215	667
244	215	665
245	216	663
246	216	661
247	217	659
248	217	657
249	218	655
250	219	653
251	219	652
252	220	650
253	220	648
254	221	647
255	222	645
256	222	644
257	223	642
258	223	640
259	224	638
260	225	637
261	225	636
262	226	634
263	227	633
264	227	631
265	228	630
266	229	629
267	229	627
268	230	625
269	230	624
270	231	622
271	231	620
272	232	618
273	233	617
274	233	616
275	234	615
276	234	613
277	235	611
278	236	610
279	236	608
280	237	606
281	237	605
282	238	603
283	238	602
284	239	600
285	240	599
286	240	597
287	241	596
288	241	595
289	242	593
290	243	592
291	243	590
292	244	589
293	244	587
294	245	586
295	245	585
296	246	583
297	247	582
298	247	580
299	248	579
300	248	577
301	249	576
302	249	574
303	250	573
304	251	572
305	251	570
306	252	569
307	252	568
308	253	566
309	254	565
310	254	564
311	255	562
312	255	561
313	256	559
314	256	558
315	257	557
316	258	555
317	258	554
318	259	553
319	259	551
320	260	550
321	260	549
322	261	547
323	261	546
324	262	545
325	263	543
326	263	542
327	264	541
328	264	539
329	265	538
330	266	538
331	267	537
332	267	535
333	268	534
334	268	533
335	269	532
336	269	530
337	270	529
338	270	528
339	271	527
340	272	525
341	272	524
342	273	523
343	273	522
344	274	520
345	274	519
346	275	518
347	276	517
348	276	516
349	277	515
350	278	514
351	278	513
352	279	512
353	280	511
354	280	509
355	281	508
356	281	507
357	282	506
358	283	505
359	283	504
360	284	503
361	284	502
362	285	500
363	286	499
364	286	498
365	287	497
366	288	496
367	288	495
368	289	494
369	289	493
370	290	492
371	291	491
372	291	490
373	292	489
374	292	488
375	293	487
376	293	485
377	294	484
378	295	483
379	295	482
380	296	481
381	296	479
382	297	478
383	297	477
384	298	476
385	299	475
386	299	474
387	300	473
388	300	472
389	301	471
390	302	470
391	302	469
392	303	468
393	303	466
394	304	465
395	304	464
396	305	463
397	305	462
398	306	461
399	306	460
400	307	459
401	307	458
402	308	456
403	308	455
404	309	454
405	310	453
406	310	452
407	311	451
408	311	450
409	312	449
410	312	448
411	313	447
412	313	446
413	314	444
414	314	443
415	315	442
416	315	441
417	316	440
418	317	439
419	317	438
420	318	437
421	318	436
422	319	435
423	320	434
424	320	433
425	321	432
426	321	431
427	322	430
428	322	429
429	323	428
430	323	427
431	324	426
432	325	425
433	325	424
434	326	424
435	327	423
436	327	422
437	328	421
438	329	420
439	329	419
440	330	419
441	331	418
442	331	417
443	332	416
444	333	415
445	334	415
446	334	414
447	335	413
448	335	412
449	336	411
450	337	410
451	337	409
452	338	408
453	338	407
454	339	406
455	340	405
456	340	404
457	341	404
458	342	403
459	342	402
460	343	401
461	343	400
462	344	399
463	345	398
464	345	397
465	346	396
466	346	395
467	347	394
468	347	393
469	348	392
470	348	391
471	349	390
472	350	390
473	350	389
474	351	388
475	351	387
476	352	386
477	353	385
478	353	385
479	354	384
480	355	383
481	356	382
482	356	381
483	357	380
484	358	380
485	358	379
486	359	378
487	359	377
488	360	376
489	360	375
490	361	374
491	362	373
492	362	373
493	363	372
494	363	371
495	364	370
496	364	369
497	365	368
498	365	367
499	366	366
500	366	365
501	367	364
502	368	363
503	368	362
504	369	361
505	369	361
506	370	360
507	370	359
508	371	358
509	371	357
510	372	356
511	373	355
512	373	354
513	374	353
514	374	352
515	375	352
516	376	351
517	376	350
518	377	349
519	378	348
520	378	348
521	379	347
522	379	346
523	380	345
524	381	345
525	382	344
526	382	343
527	383	342
528	383	341
529	384	340
530	385	340
531	385	339
532	386	338
533	386	337
534	387	336
535	387	335
536	388	334
537	389	334
538	389	333
539	390	332
540	391	331
541	391	331
542	392	330
543	393	329
544	394	329
545	394	328
546	395	327
547	395	326
548	396	325
549	397	324
550	397	324
551	398	323
552	398	322
553	399	321
554	400	320
555	401	320
556	401	319
557	402	318
558	402	317
559	403	317
560	404	316
561	404	315
562	405	314
563	406	314
564	406	313
565	407	312
566	408	311
567	408	310
568	409	310
569	409	309
570	410	308
571	411	307
572	411	306
573	412	305
